gene	log2fc_fudan	n_pairs_fudan	pval_fudan
C1S	0.37901865923351097	28	0.13751810044050217
C2	1.0023609275371086	19	0.1336212158203125
C21ORF33	-0.8934847906759866	28	0.0008751451969146729
C2CD5	-0.6015777564049279	8	0.4609375
C2ORF43	0.28123493304565444	22	0.01272726058959961
C2ORF47	0.3260622130386922	20	0.05316925048828125
C3	0.18605857845893936	28	0.9910601079463959
C3ORF58	0.6562024633947618	17	0.02667236328125
C4A	0.5097082841660362	21	0.01578044891357422
C4BPA	-0.569845354146366	28	0.17090606689453125
C4ORF27	-0.5940437185236472	19	0.07987594604492188
C4ORF33	0.37194771676039345	7	0.9375
C5	1.529788247555634	17	0.023223876953125
C6	2.132958965699081	28	5.529820919036865e-05
C6ORF211	0.3762901125936372	28	0.3272097110748291
C7	-0.025619018867481122	18	0.83172607421875
C7ORF50	1.963033204919701	22	0.0010914802551269531
C8B	0.7591499547216609	28	0.003438994288444519
C8G	0.41016623268100705	26	0.0630297064781189
C8ORF82	0.8139437046994551	9	0.5703125
C9	1.270118433786154	28	2.7544796466827393e-05
C9ORF64	0.9575066488844054	21	0.0005102157592773438
C9ORF89	0.10448114460127703	7	0.6875
CA1	-2.2514396967445003	28	1.5422701835632324e-06
CA12	-1.1888178981844941	18	0.0028076171875
CA2	-2.137914371575744	28	2.4586915969848633e-07
CA4	-1.3084308708721348	6	0.0625
CAB39	-0.5274449108965265	28	0.008859716355800629
CAB39L	0.2388290273099973	28	0.026356667280197144
CACNA2D1	-0.3091685888717839	12	0.5693359375
CACYBP	1.3467358932438183	26	0.00016617774963378906
CAD	0.9746472490205909	28	0.00010570138692855835
CALB2	0.3125537164375117	8	0.9453125
CALCOCO2	-0.027287090868884777	17	0.4037628173828125
CALD1	0.6570433721416664	28	0.00019368529319763184
CALR	0.5490168829323792	28	0.007629185914993286
CALU	1.5598428729899436	28	1.5422701835632324e-06
CAMK2D	-0.4111433216984372	28	0.008224666118621826
CAMK2G	-0.21428982855820566	28	0.479096382856369
CAMP	2.1403381158850987	21	0.0005102157592773438
CAMSAP3	0.061444874582900745	9	0.30078125
CAND1	0.21889979690814831	28	0.006060026586055756
CANT1	-0.3142556939379737	5	
CANX	0.4923888923802636	28	0.0022339224815368652
CAP1	-0.010458010609290662	28	0.3740789592266083
CAPG	0.592420382775948	28	2.7641654014587402e-06
CAPN1	0.08710947890865928	28	0.4247525781393051
CAPN2	-0.1547183010035515	28	0.3620011880993843
CAPN5	-0.6268940499036809	28	0.003160528838634491
CAPNS1	-0.5886498481533262	28	6.318092346191406e-05
