gene	spearman_r	n_samples
ATAD3A	0.40208972029466084	96
ATAD3B	0.5288266559722501	52
ATE1	0.3973073336730554	96
ATF1	0.4539124788051516	55
ATF2	0.1346153846153846	25
ATF7	-0.1969924812030075	20
ATF7IP	-0.11248868778280542	51
ATG12	0.269965033154939	66
ATG13	0.6215074723846654	21
ATG16L1	0.2447782250557534	96
ATG3	0.2701221538691102	96
ATG4A	0.5349121466768525	34
ATG4B	0.373478572039408	96
ATG5	0.3471472367990797	96
ATG7	0.33247308186212404	96
ATG9A	0.042632791833384004	75
ATIC	0.5442053215949864	96
ATL1	0.4678376665852968	96
ATL2	0.3455951924759844	96
ATL3	0.4549875540479796	96
ATM	0.4385688851435112	96
ATOX1	0.13893043306266736	96
ATP11B	0.10356872759642691	96
ATP11C	0.41162203518330265	75
ATP13A1	-0.07811577983518161	96
ATP1A1	0.6155061788825631	96
ATP1B1	0.6439723816260657	96
ATP1B3	0.4174308193163321	96
ATP2A2	0.10176480962425183	96
ATP2A3	0.5747558328811719	96
ATP2B1	0.5754922374809354	96
ATP2B4	0.3953145296870682	96
ATP2C1	0.24564743434229694	95
ATP5A1	0.3894742553697318	96
ATP5B	0.18830902377219558	96
ATP5C1	-0.009977176616451637	96
ATP5D	0.32850864106769234	96
ATP5E	-0.021812484528575888	96
ATP5F1	0.10708871835251389	96
ATP5G1	0.1540230196894987	96
ATP5H	-0.0012683297387186812	96
ATP5I	0.04886783302896754	96
ATP5J	0.06419691122457531	96
ATP5J2-PTCD1	0.002454426367079667	96
ATP5L	-0.09626888956093428	96
ATP5O	0.10605813970237442	96
ATP5S	0.12860887954429193	96
ATP5SL	0.2286601632490544	91
ATP6AP1	0.23001532848234538	96
ATP6AP2	0.21929068970896437	96
ATP6V0A1	0.31522151985315	96
ATP6V0A2	0.24869724028145823	83
ATP6V0C	0.03904296539481972	68
ATP6V0D1	0.20515750955620554	96
ATP6V1A	0.2881715179093665	96
ATP6V1B2	0.6782332673783905	96
ATP6V1C1	0.32377108949122485	96
ATP6V1D	0.042621594309057716	96
ATP6V1E1	0.08801964283902901	96
ATP6V1F	-0.01580325289310485	96
ATP6V1G1	-0.039189088368749105	96
ATP6V1H	-0.12693643343844438	96
ATP8A1	0.41230093789298067	77
ATP8B1	0.6491745683528403	96
ATP9A	0.6273734472375391	96
ATPAF1	0.19265790589343512	96
ATPAF2	0.28506427198717743	89
ATPIF1	0.3390690387288972	96
ATRAID	0.2518747081329945	83
ATRN	0.2582431626480362	79
ATRX	0.4698126324740878	96
ATXN10	0.5409925018338733	96
ATXN2	0.07061756029542093	96
ATXN2L	-0.02153469459844963	96
ATXN3	0.3792698488221303	81
ATXN7L3B	0.10060408257207516	68
AUH	0.42606427901713456	96
AUP1	0.4934973328071405	96
AVEN	0.3812220233721159	93
AVL9	0.4913098181957221	96
AZGP1	0.13652857472607471	96
B2M	0.5466494845360825	96
B3GALT5	0.47192394716251856	68
B3GALT6	-0.03049986001318084	22
B3GAT3	0.15335204874972613	80
B3GLCT	0.39115315011171875	82
B3GNT3	0.6219313269228121	96
B3GNT6	0.6673387513526311	93
B3GNT7	0.5195698173023414	62
B4GALT1	0.21341246291905663	96
B4GALT3	0.27159796725014124	22
B4GALT4	0.4498121219112143	96
B4GALT7	0.3249156645466135	54
B4GAT1	0.10310819038585745	52
BABAM1	0.31859124359887414	96
BACH1	0.325068870523416	57
BAD	0.11077378403238389	49
BAG1	0.4971411905940762	96
BAG2	0.6365939350513024	96
BAG3	0.13184972164426406	96
BAG4	0.27647203935554693	44
BAG5	0.5537125901091989	96
BAG6	0.2460033777195295	96
BAIAP2	0.635771696133245	96
BAIAP2L1	0.5588247263384957	96
BAIAP2L2	0.3072567308461912	41
BAK1	0.30708256290698605	72
BANF1	0.17132741445654193	96
BASP1	0.4614200253271533	96
BAX	0.5205088292277781	96
BAZ1A	0.3089123650975216	68
BAZ1B	0.5542243036959131	96
BAZ2A	0.2126402408211608	77
BCAM	0.3473894833248743	96
BCAP29	0.27714821850557714	92
BCAP31	0.6349494874170473	96
BCAR1	-0.061438019491853235	86
BCAS1	0.7724243649355443	96
BCAS2	0.11964852546189533	96
BCAS3	0.4440281717442289	72
BCAT1	0.6938036159814074	56
BCAT2	0.4381856719175482	96
BCCIP	0.3090902924985981	96
BCKDHA	0.31944340830976525	96
BCKDHB	0.4127553650777226	96
BCKDK	0.25584242501333604	96
BCL10	0.385311642659315	96
BCL2L1	0.7483979305895044	90
BCL2L13	0.5207562526763785	96
BCL2L14	0.662724067667762	70
BCL2L15	0.6077558287444867	96
BCL2L2-PABPN1	-0.24755462237448267	20
BCL7C	0.07227784077833842	52
BCLAF1	0.058940029030506935	96
BCR	0.2237320898801672	96
BCS1L	0.4283519577371299	96
BDH1	0.6168152036788345	96
BDH2	0.43187113183800696	96
BECN1	0.0908571090580974	77
BET1	0.35805880496065823	78
BET1L	0.2189859255504174	96
BGN	0.5470965468030521	96
BICD2	0.18489326424593278	83
BID	0.44265914264847805	96
BIN1	0.6275083002722422	96
BIN2	0.4171955256308122	92
BIN3	0.20239285981683308	89
BIRC2	0.2540322580645161	32
BIRC6	0.11395259719048616	96
BLMH	0.3960999762698362	96
BLNK	0.45922276956759717	28
BLOC1S1	0.024241273244627094	96
BLOC1S2	0.35759571172897175	82
BLOC1S3	0.011586205399575325	82
BLOC1S4	-0.08545977364448894	91
BLOC1S5	0.03240795340194345	86
BLOC1S6	0.2156613697643641	91
BLVRA	0.6799142675988921	96
BLVRB	0.3237529377072468	96
BMP2K	0.20063893003572436	96
BMS1	0.19802896862829755	96
BNIP1	0.3510104894029346	58
BNIP2	0.3432703003337041	30
BOD1	0.3312938055876888	30
BOD1L1	0.10624805003758364	96
BOK	0.18823566456816596	83
BOLA1	0.19899206792600746	27
BOLA2	0.45021636213187927	96
BOLA3	0.42360356415437717	76
BOP1	0.6042038294878227	96
BORCS5	-0.1373734934509923	53
BORCS6	0.22479260949260582	69
BORCS7	0.4069143153907819	64
BPGM	0.11964133713521322	96
BPHL	0.6145764102884639	96
BPNT1	0.24923272056297202	96
BPTF	0.04730094927308561	83
BRAP	0.14230931369718205	93
BRAT1	0.2813196964518549	83
BRCC3	-0.07316270851956598	96
BRD1	-0.11237553342816499	37
BRD2	0.30133613841173373	93
BRD3	0.22551595632017318	86
BRD4	0.18472208091701434	96
BRD7	-0.0016768254341471194	71
BRD8	0.16444182994705642	51
BRD9	0.2666885587209881	40
BRE	0.2459745791507899	96
BRI3	0.16226774955382717	58
BRI3BP	0.5031771663893062	94
BRIX1	0.13401114387539273	96
BRK1	0.10376261127656108	96
BRMS1	0.11933664048580214	26
BRMS1L	0.411439735735225	21
BROX	0.4710961291941643	96
BRPF1	0.08249185332770874	59
BSDC1	0.5202004566016005	83
BSG	0.3528386412144201	96
BSPRY	0.6889448821073472	96
BST1	0.35826691620490564	96
BST2	0.8508700237775166	96
BTAF1	0.22123242194951828	89
BTD	0.21509843490790198	96
BTF3	0.375888088192408	96
BTF3L4	0.462044548142923	96
BTK	0.5429165108054881	62
BTN2A1	0.312745394140743	43
BTN3A3	0.3680260395823669	86
BUB3	0.016413790300270445	96
BUD13	0.09463754747657946	56
BUD23	0.5718517820229697	86
BUD31	0.28873929635350537	96
BYSL	0.2551778636454389	96
BZW1	0.270804437118299	96
BZW2	0.6134213257752201	96
C10ORF11	0.4813873103675373	60
C10ORF35	0.3600111049312458	52
C10ORF76	0.27884002335813024	96
C10ORF99	0.27446707691221883	85
C11ORF54	0.3402392249250458	96
C11ORF58	0.2565408628018971	96
C11ORF68	0.289355612354533	96
C11ORF96	0.44204878165437606	82
C11ORF98	0.16361509114125455	96
C12ORF10	0.2938283831702787	96
C12ORF29	0.0825302718548247	23
C12ORF4	0.060363302456375	49
C12ORF43	0.1700739612825942	24
C12ORF45	0.473626584122058	43
C12ORF57	0.04529845839364152	66
C12ORF75	0.6254940711462451	23
C14ORF1	0.3423474194940253	88
C14ORF159	0.1258914855050706	96
C14ORF166	0.21742020376666332	96
C14ORF2	0.005768663372581661	96
C15ORF38-AP3S2	0.26051981886470077	96
C15ORF40	0.27242399359959035	54
C15ORF48	0.6802297983032968	96
C15ORF52	0.35397017577977496	96
C16ORF58	0.5357013263187985	96
C16ORF62	0.7128085650473549	96
C16ORF70	-0.3014545011457219	36
C16ORF91	-0.05525601750581285	44
C17ORF49	0.46207221680396154	96
C17ORF58	-0.14661513324830938	90
C17ORF62	0.16988228443330106	96
C17ORF75	0.2804407396883836	96
C18ORF25	0.5256578310815124	31
C18ORF32	0.25408818682462125	96
C18ORF8	0.5653827165143389	91
C19ORF12	0.5348487455619876	33
C19ORF25	0.2622274222780018	96
C19ORF33	0.47165529269924045	91
C19ORF43	0.26643922488927474	96
C19ORF53	0.22322659046795484	88
C19ORF66	0.4135204987502831	96
C19ORF70	0.047396193658642484	96
C1D	-0.11635021319801811	56
C1GALT1	0.0552576868366342	38
C1ORF116	0.5310348672303924	91
C1ORF122	0.4172455451525219	43
C1ORF123	0.21495526786106864	96
C1ORF174	0.4271616204079132	50
C1ORF198	0.4649139821846883	93
C1ORF21	0.5936488584794315	40
C1ORF210	0.6685342127186568	35
C1ORF226	-0.03615384615384615	25
C1ORF27	0.12591818878861497	96
C1ORF35	0.4018750294847272	92
C1ORF50	-0.08960410018151682	83
C1QA	0.3419415006378289	96
C1QB	0.3416452171927445	96
C1QBP	0.43452605032031855	96
C1QC	0.40057515702436586	96
C1QTNF5	0.5347826086956522	24
C1R	0.4517960336267233	96
C1RL	0.20916789628552876	65
C1S	0.36087589064425907	96
C2	0.41240644467967974	96
C20ORF24	0.5910151130492498	74
C20ORF27	0.6499883322168841	88
C21ORF33	0.15776122845219695	96
C21ORF59	0.21289257167425585	85
C2CD5	0.4292220718972245	96
C2ORF49	0.02816328836803277	81
C2ORF69	0.24676441332172191	51
C2ORF72	0.2502319057632693	51
C2ORF88	0.4122899329015021	59
C3	0.24387630180654954	96
C3ORF38	0.1500516895369082	83
C3ORF58	0.3559885520842324	47
C4A	0.3994221202020393	96
C4B	0.28110841314843954	96
C4BPA	-0.14951378754746913	96
C4BPB	0.08645488200436127	96
C4ORF3	0.04859277144968181	71
C4ORF32	0.5867808330483062	64
C4ORF33	0.05363443922810982	31
C5	-0.056549062459572974	96
C5AR1	0.5872042837663133	65
C5ORF15	0.11504965622612681	34
C5ORF24	0.4674782108961108	50
C5ORF51	0.1727993281192588	70
C6ORF132	0.3267445806234496	46
C6ORF203	0.12777408503847962	96
C6ORF47	0.33806508942390817	74
C6ORF89	0.028643999067377267	52
C7	0.3102988703782464	96
C7ORF26	-0.07926742671775154	65
C7ORF50	0.41066014636760106	96
C7ORF73	0.02089215132693394	22
C8ORF33	0.5895238609630272	73
C8ORF82	0.36748272983960134	96
C9ORF142	0.33795136023978034	96
C9ORF40	0.025409373235460195	22
C9ORF64	0.49223381319793286	96
C9ORF78	0.28408807100712663	77
CA12	0.7575822323422221	96
CA13	0.6847954353567592	88
CA2	0.6980150509480364	96
CA4	0.5136409112472025	96
CA8	0.7542419266557197	28
CA9	0.7378014896701861	60
CAAP1	0.004480009580646677	67
CAB39	0.2595328205813979	96
CAB39L	0.6888851208495561	96
CACFD1	0.14260249617124496	40
CACNA2D1	0.6814424913274847	96
CACTIN	-0.15062694041190447	53
CACUL1	0.17990121967167297	53
CACYBP	0.5423098836229899	96
CAD	0.272745462494402	96
CADM1	0.5534625908104538	86
