rank,gene,rna_lfc,rna_p,rna_q,mean_tumor_log2tpm,mean_normal_log2tpm,n_tumor,n_normal,prot_lfc,prot_p,prot_q,n_pairs,neglog10p,gen_p,gen_q,mut_freq,n_mutated,cds_len,n_patients,concordant,transcriptomic,proteomic,genomic,score,score_genomic_weighted
11,CR2,-1.967715449164682,3.9917841258376085e-14,1.6502185502377022e-13,1.121426823450081,3.089142272614763,471,41,-1.4149333333333336,1.1920928955078125e-06,2.412594641315811e-06,24,1.342970163775294,0.0453972803713103,0.855913339923706,0.0943396226415094,10,3279.0,106,True,1.967715449164682,1.4149333333333336,1.342970163775294,0.9646121074692502,0.9641826427540714
12,COLEC12,-1.524733295005768,3.922627597365688e-17,2.4453630253561855e-16,1.5791156416441974,3.1038489366499653,471,41,-1.8736074074074085,1.6304520965489996e-14,9.341334855463056e-14,81,1.4765194946715583,0.0333795521369558,0.7739267757122086,0.0754716981132075,8,2229.0,106,True,1.524733295005768,1.8736074074074085,1.4765194946715583,0.9628942486085341,0.9643887858173572
13,MRGPRF,-1.737924433996923,1.8999071489733058e-12,6.382919649097462e-12,2.6457065142661333,4.383630948263057,471,41,-1.38818125,7.717795458902493e-17,1.4382969370493566e-15,96,1.5105389253652093,0.0308646299680018,0.7610148908086317,0.0471698113207547,5,1032.0,106,True,1.737924433996923,1.38818125,1.5105389253652093,0.9625163196591767,0.9646464646464646
14,CP,-1.6805488163664224,6.812988993665919e-20,7.470955738944615e-19,0.8461218561988283,2.526670672565251,471,41,-1.1781468749999997,1.2168946602769016e-14,7.205777825064198e-14,96,2.170152265967942,0.0067584597863374,0.391298856763299,0.1132075471698113,12,3198.0,106,True,1.6805488163664224,1.1781468749999997,2.170152265967942,0.9620696763553905,0.9683055040197897
15,GNAO1,-1.7724443801947594,9.364567932144132e-21,1.277477415512562e-19,0.6997030697937657,2.472147449988525,471,41,-2.2334166666666673,2.2906798308913148e-17,9.541570874547247e-16,96,0.9747317210209032,0.1059908265611303,0.9999999997893128,0.0377358490566037,4,1065.0,106,True,1.7724443801947594,2.2334166666666673,0.9747317210209032,0.9609702466845323,0.9541847041847042
16,KCNMA1,-1.6181252682839389,7.259749139780067e-19,6.3043678720334996e-18,0.8530490593586365,2.4711743276425753,471,41,-1.038093103448276,6.601493857886162e-14,3.295343920577251e-13,87,3.912457277390661,0.0001223327454841,0.0304919551710224,0.160377358490566,17,3711.0,106,True,1.6181252682839389,1.038093103448276,3.912457277390661,0.9589088160516732,0.9681508967223253
17,JCHAIN,-4.839144218301837,5.730658522913666e-23,1.8349568590369557e-21,7.356884320593864,12.1960285388957,471,41,-1.7039958333333336,2.9436080385676766e-17,9.541570874547247e-16,96,0.7093186499464048,0.1952906046457636,0.9999999997893128,0.0188679245283018,2,480.0,106,True,4.839144218301837,1.7039958333333336,0.7093186499464048,0.9547172404315261,0.9373325087610802
18,ITIH5,-1.4798073076085745,1.044395510812872e-16,6.088359979557943e-16,2.1308975121550713,3.6107048197636455,471,41,-1.4194625000000003,2.1510563878168198e-17,9.541570874547247e-16,96,1.33596810686996,0.0461351453419662,0.863185047581369,0.0849056603773584,9,2829.0,106,True,1.4798073076085745,1.4194625000000003,1.33596810686996,0.9528619528619527,0.9552669552669553
19,PPP1R12B,-1.8295631654212707,3.2660406823454093e-15,1.5461893133544355e-14,2.9017684148925484,4.731331580313819,471,41,-2.0095343750000003,2.122969302222796e-16,2.628610808420695e-15,96,0.8280836768522483,0.1485649370080457,0.9999999997893128,0.0754716981132075,8,3132.0,106,True,1.8295631654212707,2.0095343750000003,0.8280836768522483,0.9525183810898096,0.9423314780457638
20,PPP1R14A,-1.9467884776928228,2.5978388586761283e-16,1.4341862112898213e-15,3.3516869344522364,5.298475412145059,471,41,-2.357094791666666,4.1504260122781984e-17,1.0274984544787616e-15,96,0.760618590502168,0.1735327341489904,0.9999999997893128,0.0188679245283018,2,444.0,106,True,1.9467884776928228,2.357094791666666,0.760618590502168,0.9523809523809523,0.9386209029066171
21,HBB,-2.8922719897706015,2.311251489192709e-18,1.8138792324497682e-17,4.257969649819006,7.150241639589607,471,41,-1.5585447916666662,7.725950582750605e-14,3.797318861514564e-13,96,0.760618590502168,0.1735327341489904,0.9999999997893128,0.0188679245283018,2,444.0,106,True,2.8922719897706015,1.5585447916666662,0.760618590502168,0.9521748093176664,0.9384662956091527
22,PLAU,2.1015318405868633,7.620429127435958e-22,1.499479076684633e-20,5.7032067847856585,3.601674944198795,471,41,0.9713230769230768,1.1688825907185674e-08,2.9130881504943792e-08,39,1.1664613908661217,0.0681614168089088,0.9960964288432532,0.0471698113207547,5,1296.0,106,True,2.1015318405868633,0.9713230769230768,1.1664613908661217,0.9503882361025218,0.950937950937951
23,CFD,-2.950992028461326,3.155234854578552e-21,4.988046770555016e-20,5.08829426585872,8.039286294320046,471,41,-1.1041322916666665,3.551013595512131e-17,9.764418690273613e-16,96,0.833080067686751,0.1468655487447689,0.9999999997893128,0.0283018867924528,3,783.0,106,True,2.950992028461326,1.1041322916666665,0.833080067686751,0.9483955198240912,0.9394454751597608
24,MYH11,-4.099701695380019,2.767485754793647e-19,2.645943566409316e-18,3.7574300901203666,7.8571317855003855,471,41,-2.7860343750000003,1.3428269520153603e-16,1.962864394499644e-15,96,0.5953613130588142,0.2538859612102842,0.9999999997893128,0.1132075471698113,12,5940.0,106,True,4.099701695380019,2.7860343750000003,0.5953613130588142,0.9477083762798048,0.9226963512677799
25,MYL9,-2.1869962108792915,3.725407128551224e-11,1.0806810235696854e-10,7.07097553188877,9.257971742768062,471,41,-2.379603125,3.1514680089528913e-16,3.471789634165016e-15,96,0.6591406954342663,0.2192094662282962,0.9999999997893128,0.0188679245283018,2,519.0,106,True,2.1869962108792915,2.379603125,0.6591406954342663,0.9472617329760186,0.9287260358688929
26,EML1,-1.2904861271083412,3.1920028012697906e-12,1.0425558284061523e-11,1.7404606435769314,3.0309467706852726,471,41,-1.8125114583333344,1.9576390041525705e-17,9.541570874547247e-16,96,1.2357762741140188,0.0581063674159666,0.9471690199546312,0.0754716981132075,8,2505.0,106,True,1.2904861271083412,1.8125114583333344,1.2357762741140188,0.9468838040266611,0.9495980210265924
27,TMEM97,1.7304710059766713,3.9438417118698683e-23,1.3591975809733905e-21,6.305171004206464,4.574699998229793,471,41,0.7675709677419355,7.1990629722640026e-06,1.3525206799473311e-05,31,3.5142576837769486,0.0003060147190786,0.0600033661169378,0.0566037735849056,6,531.0,106,True,1.7304710059766713,0.7675709677419355,3.5142576837769486,0.945372088229231,0.9575860647289218
28,PTGS1,-2.2402318168204953,7.301554824112238e-22,1.4456374410282367e-20,3.0227277503533516,5.262959567173847,471,41,-1.4898208333333336,2.4392369995854658e-17,9.541570874547247e-16,96,0.7338808799077806,0.184552154707117,0.9999999997893128,0.0471698113207547,5,1800.0,106,True,2.2402318168204953,1.4898208333333336,0.7338808799077806,0.9446162303305159,0.931199752628324
29,EPB41L3,-2.509151730642406,5.095860117846731e-24,2.9815014131361723e-22,2.009724597177795,4.518876327820201,471,41,-1.3740760416666669,1.781293897222056e-17,9.541570874547247e-16,96,0.7351892483422998,0.1839970040647546,0.9999999997893128,0.0754716981132075,8,3318.0,106,True,2.509151730642406,1.3740760416666669,0.7351892483422998,0.9445475159760873,0.9312512883941455
